No.	単語	品詞	意味	用例	追加
661	look	動	①見る  ②(look for …)…をさがす ③に見える	①look at the blackboard ②look for my pen ③look happy	
662	lose	動	・・・を失う　《活用》lost-lost	lose my key	
663	lot	名	たくさん	a lot of books	
664	loud	副	大声で	Speak louder.	
665	loud	形	（声が）大きい	a loud voice	
666	love	名	愛、恋愛	a mother's love for her children 	
667	love	動	・・・を愛する、大いに好む	She loves sushi.	
668	low	形	低い	a low table	
669	luck	名	運	Good luck!	
670	lucky	形	幸運な	She is a lucky woman.	
671	lunch	名	昼食	eat lunch at that restaurant	
672	machine	名	機械	use the machine	
673	magazine	名	雑誌	read a magazine	
674	main	形	主な、主要な	a main problem	
675	make	動	①・・・を作る　②～を・・・にする	①make a sandwich  ②make her happy	○
676	make	動	③～に・・・させる                   　《活用》made-made	③Hot milk makes you sleep well.	
677	man	名	男の人、男性   《複数》men	a tall man	
678	many	形・代	（数えられる名詞の前で）たくさんの、多くのもの（人）　《活用》more-most	many chairs / many of them	
679	map	名	地図	see a map	
680	March	名	３月	in March	
681	match	名	試合、競技	a tennis match	
682	math	名	数学	I like math.	
683	matter	名	困ったこと	What's the matter?	
684	may	助	①（許可）・・・してもよい　②（推量・可能性）・・・かもしれない	①May I use your bike?　② Some people may think that …	
685	May	名	５月	in May	
686	maybe	副	もしかすると、たぶん	Maybe we will meet tomorrow.	
687	me	代	私を（に）	He knows me well.	
688	meal	名	食事	cook a meal	
689	mean	動	・・・を意味する、・・・ということを意味する  《活用》meant-meant	What does the word mean?	
690	meaning	名	（言葉・身振りなどの）意味	What is the meaning of the word?	
